1564042462675|14|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564042473716|3|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron|select           task_id, task_name, task_description, task_cron       from           task_cron
1564042518185|18|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564042523735|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron|select           task_id, task_name, task_description, task_cron       from           task_cron
1564042562955|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|select           task_id, task_name, task_description, task_cron       from           task_cron|select           task_id, task_name, task_description, task_cron       from           task_cron
1564042829200|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564042830218|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564042899883|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564042900859|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564042933625|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
1564042934648|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|/* ping */ SELECT 1|/* ping */ SELECT 1
1564042984158|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/home_work?allowMultiQueries=true&useUnicode=true&characterEncoding=utf-8&useSSL=false&serverTimezone=CTT|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = ?|SELECT  task_id,task_name,task_description,task_cron,logic  FROM task_cron   WHERE  logic=0 AND task_id = 1
